団体コード,団体名,name,設置場所_名称_カナ,設置場所_住所,設置場所_電話番号,lat,lon,設置場所_詳細,情報源（ソース）,利用可能時間,利用可能日,開始時間,終了時間,日時備考,小児用パッドの有無,AED画像_画像,AED画像_ライセンス,AED画像_画像テキスト,列,施設名称,住所,種別
112186,深谷市,深谷市立八基小学校,ﾌｶﾔｼﾘﾂﾔﾂﾓﾄｼｮｳｶﾞｯｺｳ,深谷市下手計1300,048-587-2250,36.233862,139.2620139,１階廊下保健室前壁面の棚,,8:10～16:40,月～金曜日,8:10:00,16:40:00,,無し,,,,,,,
112186,深谷市,深谷市立豊里中学校,ﾌｶﾔｼﾘﾂﾄﾖｻﾄﾁｭｳｶﾞｯｺｳ,深谷市下手計525,048-587-2150,36.2307322,139.2766464,１階職員室入り口壁側,,8:10～16:40,月～金曜日,8:10:00,16:40:00,,無し,,,,,,,
112186,深谷市,渋沢栄一記念館・八基公民館,ｼﾌﾞｻﾜｴｲｲﾁｷﾈﾝｶﾝ・ﾔﾂﾓﾄｺｳﾐﾝｶﾝ,深谷市下手計1204,048-598-7757,36.2342287,139.2638804,１階事務室窓口側,,9:00～22:00,日～土曜日,9:00:00,22:00:00,年末年始は休館,有り,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/67db24d8-507f-4358-82a6-c86075481668.jpg,CC-BY,エントランス側から右側事務室方向に向かい撮った写真,,,,
112186,深谷市,緒方医院,,深谷市血洗島182-1,,36.2339258,139.2607639,,,,,,,,,,,,,,,
112186,深谷市,ＪＡふかや　八基支店,,深谷市血洗島187,,36.23357589,139.2606584,,,,,,,,,,,,,,,
112186,深谷市,特別養護老人ホーム　藤の木荘,,深谷市藤野木117,,36.2151655,139.323926,,,,,,,,,,,,,,,
112186,深谷市,深谷市立明戸小学校,ﾌｶﾔｼﾘﾂｱｹﾄｼｮｳｶﾞｯｺｳ,深谷市蓮沼413,048-571-0868,36.21908731,139.3206496,職員室南側窓際,,8:10～16:40,月～金曜日,8:10:00,16:40:00,,無し,,,,,,,
112186,深谷市,深谷市明戸公民館,ﾌｶﾔｼｱｹﾄｺｳﾐﾝｶﾝ,深谷市蓮沼256,048-571-0872,36.21617639,139.3175876,事務室,,9:00～22:00,日～土曜日,9:00:00,22:00:00,年末年始は休館,有り,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/bdbb5122-ff52-41c2-b245-569364e0302c.JPG,CC-BY,ＡＥＤ設置場所を明戸公民館１階事務室の窓口から撮った写真,,,,
112186,深谷市,ＪＡふかや　明戸支店,,深谷市蓮沼290-1,,36.21632361,139.318482,,,,,,,,,,,,,,,
112186,深谷市,深谷市立明戸中学校,ﾌｶﾔｼﾘﾂｱｹﾄﾁｭｳｶﾞｯｺｳ,深谷市新井18,048-571-0869,36.219487,139.311127,保健室前廊下,,8:10～16:40,月～金曜日,8:10:00,16:40:00,,無し,,,,,,,
112186,深谷市,深谷市老人福祉センター福寿荘,ﾌｶﾔｼﾛｳｼﾞﾝﾌｸｼｾﾝﾀｰﾌｸｼﾞｭｿｳ,深谷市沼尻482-1,048-573-2940,36.223092,139.305483,１階事務室,,8：30～17：00,日時備考以外の日,8:30:00,17:00:00,月・金・祝日の翌日・年末年始は休館,無し,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/f9fede00-4fdd-4f06-a10f-c9beaf30d80c.JPG,CC-BY,AED設置場所を１階事務室から撮った写真,,,,
112186,深谷市,老人保健施設　ＦＯＭＡなごみ,,深谷市新戒413-1,,36.22879111,139.2927231,,,,,,,,,,,,,,,
112186,深谷市,深谷市立豊里小学校,ﾌｶﾔｼﾘﾂﾄﾖｻﾄｼｮｳｶﾞｯｺｳ,深谷市新戒635,048-587-2002,36.23405161,139.2875318,１階　職員玄関　入り口近くの壁,,8:15～16:15,月～金曜日,8:15:00,16:15:00,,無し,,,,,,,
112186,深谷市,深谷市豊里公民館,ﾌｶﾔｼﾄﾖｻﾄｺｳﾐﾝｶﾝ,深谷市新戒639-1,048-587-2111,36.2339822,139.2862457,事務所出入り口横　,,9:00～22:00,日～土曜日,9:00:00,22:00:00,年末年始は休館,有り,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/89fd9674-f034-4e65-aaa3-c7bfd4a26c41.jpg,CC-BY,公民館に入るとすぐ右側に事務室があり、事務室の窓口に設置,,,,
112186,深谷市,ＪＡふかや　豊里支店,,深谷市新戒410-3,,36.22988,139.2933118,,,,,,,,,,,,,,,
112186,深谷市,深谷大里看護専門学校,,深谷市新戒749-1,,36.2276995,139.291726,,,,,,,,,,,,,,,
112186,深谷市,正田眼科,,深谷市稲荷町１丁目8-33,,36.19127831,139.2876665,,,,,,,,,,,,,,,
112186,深谷市,白倉医院,,深谷市稲荷町３丁目3-1,,36.19724669,139.2898605,,,,,,,,,,,,,,,
112186,深谷市,深谷市消防本部　深谷消防署,ﾌｶﾔｼｼｮｳﾎﾞｳﾎﾝﾌﾞ ﾌｶﾔｼｮｳﾎﾞｳｼｮ,深谷市上敷免858,048-571-0916,36.21203961,139.2848159,深谷消防署　受付,,0:00～24:00,常時使用可能,0:00:00,0:00:00,,有り,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/c705e229-b347-4903-af94-c4e828037b86.jpeg,CC-BY,ＡＥＤ設置場所を深谷消防署１階受付前の通路から撮った写真,,,,
112186,深谷市,深谷市浄化センター,ﾌｶﾔｼｼﾞｮｳｶｾﾝﾀｰ,深谷市上敷免2,048-577-7542,36.22129761,139.3009113,2階ホール南側大会議室壁面,,8:30-17:15※管理業者のみ常駐のため、使用時は必ず左欄記載電話番号（下水道工務課維持係）にご連絡ください。,,8:30:00,17:15:00,土・日・祝・年末年始を除く,有り,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/6eace7b2-0fd0-4d90-95a2-640b639319e8.JPG,CC-BY,浄化センター２階ホールからAEDが設置されている大会議室側壁面を撮った写真,,,,
112186,深谷市,ＪＡふかや　深谷農機センター,,深谷市上敷免990-1,,36.21350631,139.2898961,,,,,,,,,,,,,,,
112186,深谷市,深谷市立幡羅中学校,ﾌｶﾔｼﾘﾂﾊﾀﾗﾁｭｳｶﾞｯｺｳ,深谷市常盤町38,048-571-0229,36.19535269,139.3008457,職員室内　東入口,,8:10～16:40,月～金曜日,8:10:00,16:40:00,,無し,,,,,,,
112186,深谷市,ＪＡアグリホールかごはら,,深谷市幡羅町１丁目8-24,,36.17921311,139.3212082,,,,,,,,,,,,,,,
112186,深谷市,埼玉県立深谷第一高等学校,,深谷市常盤町21-1,,36.19547211,139.2971849,,,,,,,,,,,,,,,
112186,深谷市,深谷市立常盤小学校,ﾌｶﾔｼﾘﾂﾄｷﾜｼｮｳｶﾞｯｺｳ,深谷市常盤町58-2,048-571-4923,36.19489756,139.2993395,保健室,,8:15～16:45,月～金曜日,8:15:00,16:45:00,,無し,,,,,,,
112186,深谷市,深谷市立常盤幼稚園,ﾌｶﾔｼﾘﾂﾄｷﾜﾖｳﾁｴﾝ,深谷市常盤町58-2,048-573-2558,36.19538,139.29836,職員室東側の棚の中,,8:15～17:00,月～金曜日,8:15:00,17:00:00,,有り,,,,,,,
112186,深谷市,埼玉県立深谷商業高等学校,,深谷市原郷80,,36.19746619,139.2915075,,,,,,,,,,,,,,,
112186,深谷市,深谷肛門科,,深谷市原郷449-2,,36.20018539,139.2942767,,,,,,,,,,,,,,,
112186,深谷市,深谷中央病院,,深谷市原郷500,,36.20436289,139.2952903,,,,,,,,,,,,,,,
112186,深谷市,岩崎医院,,深谷市東方3688-5,,36.17580789,139.323036,,,,,,,,,,,,,,,
112186,深谷市,深谷市幡羅公民館,ﾌｶﾔｼﾊﾀﾗｺｳﾐﾝｶﾝ,深谷市東方1370,048-575-1411,36.19637531,139.3143972,事務室,,9:00～22:00,日～土曜日,9:00:00,22:00:00,年末年始は休館,有り,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/362c57a8-fa02-4171-8ca8-9779e6f9047a.jpg,CC-BY,AED設置場所を幡羅公民館１階事務室の入口から撮った写真,,,,
112186,深谷市,深谷整形デイサービスセンター　野の花,,深谷市東方1302-1,,36.20240819,139.3181356,,,,,,,,,,,,,,,
112186,深谷市,グループホーム野の花,,深谷市東方1275-1,,36.20265262,139.3187272,,,,,,,,,,,,,,,
112186,深谷市,深谷自動車教習所,,深谷市東方4343,,36.17797689,139.3132312,,,,,,,,,,,,,,,
112186,深谷市,ＪＡふかや　幡羅支店,,深谷市東方2118-1,,36.19210522,139.312257,,,,,,,,,,,,,,,
112186,深谷市,ＪＡふかや　グル米ハウス,,深谷市東方2118-1,,36.19207561,139.3116309,,,,,,,,,,,,,,,
112186,深谷市,内田ハートクリニック,,深谷市東方町２丁目15-6,,36.18902039,139.3148696,,,,,,,,,,,,,,,
112186,深谷市,東光保育園,,深谷市東方町３丁目13-3,,36.18839705,139.3181927,,,,,,,,,,,,,,,
112186,深谷市,深谷市立幡羅小学校,ﾌｶﾔｼﾘﾂﾊﾀﾗｼｮｳｶﾞｯｺｳ,深谷市東方町３丁目25-1,048-571-0517,36.18671286,139.3175436,西校舎1階来賓玄関の棚の上,,8:15～16:45,月～金曜日,8:15:00,16:45:00,,無し,,,,,,,
112186,深谷市,深谷市立幡羅幼稚園,ﾌｶﾔｼﾘﾂﾊﾀﾗﾖｳﾁｴﾝ,深谷市東方町３丁目25-1,048-571-2787,36.18649,139.31805,職員室の東側書庫内,,8:15～17:00,月～金曜日,8:15:00,17:00:00,,有り,,,,,,,
112186,深谷市,桃園第二保育園,,深谷市上柴町東３丁目21-4,,36.1777685,139.3115341,,,,,,,,,,,,,,,
112186,深谷市,深谷市立上柴東小学校,ﾌｶﾔｼﾘﾂｶﾐｼﾊﾞﾋｶﾞｼｼｮｳｶﾞｯｺｳ,深谷市上柴町東５丁目9-1,048-573-7435,36.17812931,139.3014128,校舎１階　保健室南窓際,,8:10～16:40,月～金曜日,8:10:00,16:40:00,,無し,,,,,,,
112186,深谷市,昭和電機（株）,,深谷市上柴町東７丁目4-1,,36.17461019,139.3018712,,,,,,,,,,,,,,,
112186,深谷市,栃の木保育園,,深谷市上柴町東３丁目18-3,,36.1763102,139.3075456,,,,,,,,,,,,,,,
112186,深谷市,スーパービバホーム深谷店,,深谷市上柴町東２丁目29-8,,36.17968511,139.3132395,,,,,,,,,,,,,,,
112186,深谷市,深谷スポーツヴィレッジ,,深谷市上柴町東３丁目13-16,,36.17699339,139.3041765,,,,,,,,,,,,,,,
112186,深谷市,協栄スイミングクラブ深谷,,深谷市上柴町東１丁目7-4,,36.18359289,139.3077732,,,,,,,,,,,,,,,
112186,深谷市,スポーツクラブジョイフィット深谷,,深谷市上柴町東３丁目12-2,,36.17806,139.305954,,,,,,,,,,,,,,,
112186,深谷市,四元医院,,深谷市上柴町西１丁目4-1,,36.18708669,139.2958325,,,,,,,,,,,,,,,
112186,深谷市,神足眼科医院,,深谷市上柴町西３丁目19-13,,36.18318161,139.300771,,,,,,,,,,,,,,,
112186,深谷市,深谷赤十字病院,,深谷市上柴町西５丁目8-1,,36.18358969,139.2940966,,,,,,,,,,,,,,,
112186,深谷市,深谷市立上柴西小学校,ﾌｶﾔｼﾘﾂｶﾐｼﾊﾞﾆｼｼｮｳｶﾞｯｺｳ,深谷市上柴町西５丁目11-1,048-571-7580,36.181468,139.292672,１階保健室　北側　棚の中,,8:15～16:45,月～金曜日,8:15:00,16:45:00,,無し,,,,,,,
112186,深谷市,深谷市立上柴中学校,ﾌｶﾔｼﾘﾂｶﾐｼﾊﾞﾁｭｳｶﾞｯｺｳ,深谷市上柴町西２丁目23-1,048-573-7438,36.183929,139.297752,職員室　入口付近,,8:10～16:40,月～金曜日,8:10:00,16:40:00,,無し,,,,,,,
112186,深谷市,深谷市上柴公民館,ﾌｶﾔｼｶﾐｼﾊﾞｺｳﾐﾝｶﾝ,深谷市上柴町西４丁目2-14上柴地区複合施設３階「キララ上柴」内,048-572-9001,36.181537,139.298624,上柴地区複合施設３階キララ上柴、上柴公民館事務所内、印刷室横のキャビネット上段,,9:00～22:00,日～土曜日,9:00:00,22:00:00,年末年始は休館,有り,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/5633b2cb-fdde-47c9-aabd-3c88a6a9ed89.JPG,CC-BY,AED設置場所を上柴公民館受付窓口から撮った写真,,,,
112186,深谷市,イトーヨーカ堂　深谷店,,深谷市上柴町西４丁目2-14,,36.181537,139.298624,,,,,,,,,,,,,,,
112186,深谷市,深谷市立上柴西幼稚園,ﾌｶﾔｼﾘﾂｶﾐｼﾊﾞﾆｼﾖｳﾁｴﾝ,深谷市上柴町西５丁目18-5,048-573-5240,36.181459,139.291514,1階職員室南側の窓際,,8:15～17:00,月～金曜日,8:15:00,17:00:00,,有り,,,,,,,
112186,深谷市,深谷市総合体育館（深谷ビッグタートル）,ﾌｶﾔｼｿｳｺﾞｳﾀｲｲｸｶﾝ（ﾌｶﾔﾋﾞｯｸﾞﾀｰﾄﾙ）,深谷市上野台2568,048-572-3000,36.17651231,139.2712678,受付窓口（事務所内）,,8:30～22:00※日曜日は8:30～21:00,休館日以外,8:30:00,22:00:00,休館日（不定期（年3回程度）/年末年始）,有り,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/c3dd39e3-cded-4305-b68d-1b2372e8bb7a.JPG,CC-BY,AED設置場所（受付窓口）を深谷市総合体育館 1階事務所内から撮った写真,,,,
112186,深谷市,深谷産婦人科医院,,深谷市上野台3027-2,,36.18737789,139.2740757,,,,,,,,,,,,,,,
112186,深谷市,桜ヶ丘病院,,深谷市上野台477,,36.18685861,139.283439,,,,,,,,,,,,,,,
112186,深谷市,正智深谷高等学校,,深谷市上野台369,,36.1903582,139.2777698,,,,,,,,,,,,,,,
112186,深谷市,仙元山保育園,,深谷市上野台3094-2,,36.179487,139.2731898,,,,,,,,,,,,,,,
112186,深谷市,ドコモショップ深谷店,,深谷市上野台2867-1　サン・ライフモール内,,36.18383111,139.2794143,,,,,,,,,,,,,,,
112186,深谷市,深谷市立桜ケ丘小学校,ﾌｶﾔｼﾘﾂｻｸﾗｶﾞｵｶｼｮｳｶﾞｯｺｳ,深谷市上野台508,048-571-0967,36.18631453,139.27907,第１校舎　職員・来賓玄関　西側壁面,,8:15:～16:45,月～金曜日,8:15:00,16:45:00,,無し,,,,,,,
112186,深谷市,深谷市老人福祉センター仙元荘,ﾌｶﾔｼﾛｳｼﾞﾝﾌｸｼｾﾝﾀｰｾﾝｹﾞﾝｿｳ,深谷市上野台2552-1,048-572-0416,36.176454,139.2760592,１階事務室,,8：30～17：00,日時備考以外の日,8:30:00,17:00:00,月・木・祝日の翌日・年末年始は休館,無し,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/1794a9c8-bdf6-4312-bb30-e84828523475.JPG,CC-BY,AED設置場所を１階事務室から撮った写真,,,,
112186,深谷市,東京電力（株）熊谷支社深谷営業センター,,深谷市上野台2923-2,,36.18460589,139.2764673,,,,,,,,,,,,,,,
112186,深谷市,正智深谷高等学校,,深谷市上野台369,,36.1903582,139.2777698,,,,,,,,,,,,,,,
112186,深谷市,桜ヶ丘保育園,,深谷市上野台2891-1,,36.18454211,139.2784866,,,,,,,,,,,,,,,
112186,深谷市,深谷市立桜ケ丘幼稚園,ﾌｶﾔｼﾘﾂｻｸﾗｶﾞｵｶﾖｳﾁｴﾝ,深谷市上野台508,048-571-2788,36.185925,139.278791,職員室玄関側,,8:30～15:00,月～金曜日,8:30:00,15:00:00,,有り,,,,,,,
112186,深谷市,埼玉県立深谷高等学校,,深谷市宿根315,,36.202468,139.266384,,,,,,,,,,,,,,,
112186,深谷市,深谷市南公民館,ﾌｶﾔｼﾐﾅﾐｺｳﾐﾝｶﾝ,深谷市宿根645-1,048-575-5550,36.189794,139.263254,1階事務室入口入ったところ,,9:00～22:00,日～土曜日,9:00:00,22:00:00,年末年始は休館,有り,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/a305cc1c-9250-47d1-b576-da3d995cbe8c.JPG,CC-BY,事務室入り口に向かって撮った写真。事務室入ってすぐ左、入口と複写機の間,,,,
112186,深谷市,深谷整形外科医院,,深谷市宿根245-1,,36.196974,139.266181,,,,,,,,,,,,,,,
112186,深谷市,深谷整形通所リハビリセンター,,深谷市宿根245-1,,36.196974,139.266181,,,,,,,,,,,,,,,
112186,深谷市,東京成徳大学深谷高等学校,,深谷市宿根559,,36.192547,139.260474,,,,,,,,,,,,,,,
112186,深谷市,皆光園,,深谷市人見1998,,36.1618667,139.2582889,,,,,,,,,,,,,,,
112186,深谷市,深谷市立藤沢小学校,ﾌｶﾔｼﾘﾂﾌｼﾞｻﾜｼｮｳｶﾞｯｺｳ,深谷市人見1626,048-571-2107,36.167697,139.267768,職員室　東側中央列の養護教諭の机上,,8:10～16:40,月～金曜日,8:10:00,16:40:00,月～金曜日,無し,,,,,,,
112186,深谷市,深谷市立藤沢中学校,ﾌｶﾔｼﾘﾂﾌｼﾞｻﾜﾁｭｳｶﾞｯｺｳ,深谷市人見1973,048-571-0742,36.163131,139.265991,保健室（北側戸棚),,8:10～16:40,月～金曜日,8:10:00,16:40:00,,無し,,,,,,,
112186,深谷市,深谷市藤沢公民館,ﾌｶﾔｼﾌｼﾞｻﾜｺｳﾐﾝｶﾝ,深谷市人見1967-1,048-571-0345,36.164266,139.266285,事務室,,9:00～22:00,日～土曜日,9:00:00,22:00:00,年末年始は休館,有り,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/494dee2f-5bff-4f44-93d9-7404b087262b.JPG,CC-BY,ＡＥＤ設置場所を公民館正面玄関の入口から撮ったもの,,,,
112186,深谷市,ＪＡふかや　藤沢支店,,深谷市人見1921-1,,36.1652135,139.2640105,,,,,,,,,,,,,,,
112186,深谷市,ＪＡふかや　南部営農経済センター,,深谷市人見1935-1,,36.1667522,139.2677629,,,,,,,,,,,,,,,
112186,深谷市,藤沢保育園,,深谷市人見1963-3,,36.16415531,139.2652105,,,,,,,,,,,,,,,
112186,深谷市,深谷市立藤沢幼稚園,ﾌｶﾔｼﾘﾂﾌｼﾞｻﾜﾖｳﾁｴﾝ,深谷市人見1625,048-571-5600,36.168391,139.267177,玄関ホール用具入れの中の棚,,8:30～17:00,月～金曜日,8:30:00,17:00:00,,有り,,,,,,,
112186,深谷市,（株）クリーンテックサーマル,,深谷市折之口1873-2,,36.164633,139.293045,,,,,,,,,,,,,,,
112186,深谷市,さくらんぼ保育園,,深谷市大谷2185-3,,36.16563261,139.2433812,,,,,,,,,,,,,,,
112186,深谷市,第２さくら保育園,,深谷市櫛引80-1,,36.16539369,139.2418174,,,,,,,,,,,,,,,
112186,深谷市,ＪＡふかや　櫛挽支店,,深谷市櫛引66,,36.1647825,139.2360011,,,,,,,,,,,,,,,
112186,深谷市,ＪＡふかや　櫛挽直売所,,深谷市櫛引37-13,,36.15649181,139.2361935,,,,,,,,,,,,,,,
112186,深谷市,ふかや緑の王国,ﾌｶﾔﾐﾄﾞﾘﾉｵｳｺｸ,深谷市櫛引24,048-551-5551,36.15791661,139.2354657,管理事務所,,8:30～17:15（10～3月）8:30～18:00（4～9月）,毎日,8:30:00,,年末年始は休園時期により利用可能時間は異なります。,有り,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/4f9070f5-2441-45b5-8e11-36e5bcb03b37.jpg,CC-BY,ＡＥＤ設置場所を管理事務所内から撮った写真,,,,
112186,深谷市,深谷グリーンパーク「パティオ」,ﾌｶﾔｸﾞﾘｰﾝﾊﾟｰｸ｢ﾊﾟﾃｨｵ｣,深谷市樫合763,048-574-7764,36.17846739,139.250444,①一階受付カウンター,,10:00～21:00,火曜日以外,10:00:00,21:00:00,火曜日及び２月は休館,無し,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/cf07632a-79eb-4445-856c-7bfffbeecedc.JPG,CC-BY,①パティオロビー券売機側から撮影。,,,,
112186,深谷市,深谷グリーンパーク「パティオ」,ﾌｶﾔｸﾞﾘｰﾝﾊﾟｰｸ｢ﾊﾟﾃｨｵ｣,深谷市樫合763,048-574-7764,36.17846739,139.250444,②一階事務室内,,10:00～21:00,火曜日以外,10:00:00,21:00:00,火曜日及び２月は休館,無し,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/35f92f56-0835-4314-94c3-4197d26da756.JPG,CC-BY,②事務所内にて撮影。利用者スペースからは見えない。,,,,
112186,深谷市,新井整形外科,,深谷市萱場316-1,,36.1907468,139.2680009,,,,,,,,,,,,,,,
112186,深谷市,深谷市立南中学校,ﾌｶﾔｼﾘﾂﾐﾅﾐﾁｭｳｶﾞｯｺｳ,深谷市萱場320,048-572-8373,36.18896639,139.2663233,１階　来賓玄関　事務室受付窓口の下,,8:30～16:30,月～金曜日,8:30:00,16:30:00,,無し,,,,,,,
112186,深谷市,深谷市立深谷中学校,ﾌｶﾔｼﾘﾂﾌｶﾔﾁｭｳｶﾞｯｺｳ,深谷市田谷45-2,048-571-0451,36.20754539,139.2794414,職員玄関,,8:10～16:40,月～金曜日,8:10:00,16:40:00,,無し,,,,,,,
112186,深谷市,高木医院,,深谷市仲町17-22,,36.198594,139.28453,,,,,,,,,,,,,,,
112186,深谷市,深谷市立深谷小学校,ﾌｶﾔｼﾘﾂﾌｶﾔｼｮｳｶﾞｯｺｳ,深谷市仲町19-1,048-571-0329,36.199902,139.283536,職員室の窓際,,8:15～16:45,月～金曜日,8:15:00,16:45:00,,無し,,,,,,,
112186,深谷市,深谷市深谷公民館,ﾌｶﾔｼﾌｶﾔｺｳﾐﾝｶﾝ,深谷市仲町20-2,048-571-0506,36.20060181,139.284208,１階事務室入口正面,,9:00～22:00,日～土曜日,9:00:00,22:00:00,年末年始は休館,有り,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/4eded8d8-7f8b-41d4-81ff-822b79dba5f2.JPG,CC-BY,公民館の出入口正面にある事務室の入口から撮った写真,,,,
112186,深谷市,深谷市立図書館,ﾌｶﾔｼﾘﾂﾄｼｮｶﾝ,深谷市仲町19-3,048-571-8210,36.199877,139.285205,カウンター内,,9:00～19:00,火～日曜日,9:00:00,19:00:00,月曜休館,有り,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/df36c7ba-a04e-4517-a0ac-a5f5806bed1b.JPG,CC-BY,館内に入ってカウンター内を撮影した写真,,,,
112186,深谷市,ＪＡふかや　深谷支店,,深谷市仲町16-13,,36.198744,139.283453,,,,,,,,,,,,,,,
112186,深谷市,深谷市立深谷幼稚園,ﾌｶﾔｼﾘﾂﾌｶﾔﾖｳﾁｴﾝ,深谷市仲町19-2,048-571-0948,36.20003,139.284433,職員室南側の窓際,,8:15～17:00,月～金曜日,8:15:00,17:00:00,,有り,,,,,,,
